SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Dogecoin,DOGE,1/01/17 23:59,0.00022849,0.000221352,0.000223436,0.000227833,136829,24501968.85
2,Dogecoin,DOGE,1/02/17 23:59,0.000230411,0.000221792,0.000228374,0.00022633,195520,24343483.89
3,Dogecoin,DOGE,1/03/17 23:59,0.000228465,0.000221901,0.000223599,0.000227103,132352,24429772.31
4,Dogecoin,DOGE,1/04/17 23:59,0.000238861,0.000224747,0.000226992,0.000236137,442095,25404850.93
5,Dogecoin,DOGE,1/05/17 23:59,0.000257098,0.000220807,0.000233206,0.000228668,994730,24604461.58
6,Dogecoin,DOGE,1/06/17 23:59,0.000235187,0.000218139,0.000227634,0.000219526,305084,23623828.23
7,Dogecoin,DOGE,1/07/17 23:59,0.000228039,0.000216476,0.000221583,0.000220733,315096,23756791.32
8,Dogecoin,DOGE,1/08/17 23:59,0.00022951,0.000219347,0.000224242,0.000221025,132159,23791267.69
9,Dogecoin,DOGE,1/09/17 23:59,0.000229528,0.000215551,0.000221285,0.000229016,160173,24654599.35
10,Dogecoin,DOGE,1/10/17 23:59,0.000230701,0.000220162,0.000228942,0.000226247,204249,24359575.61
11,Dogecoin,DOGE,1/11/17 23:59,0.000226228,0.00020044,0.000224822,0.000205298,458200,22106893.88
12,Dogecoin,DOGE,1/12/17 23:59,0.000212218,0.00019498,0.000203464,0.000208379,263155,22441532.1
13,Dogecoin,DOGE,1/13/17 23:59,0.000212824,0.000202432,0.000207942,0.000208858,108930,22495996.29
14,Dogecoin,DOGE,1/14/17 23:59,0.000211902,0.000205986,0.000208952,0.000208749,71387.79688,22487113.81
15,Dogecoin,DOGE,1/15/17 23:59,0.000209861,0.000202476,0.000206679,0.00020611,77839.20313,22205669.47
16,Dogecoin,DOGE,1/16/17 23:59,0.000211773,0.000202862,0.000206122,0.000207194,103512,22325303.59
17,Dogecoin,DOGE,1/17/17 23:59,0.000218813,0.000202396,0.000206675,0.000215367,161002,23208937.73
18,Dogecoin,DOGE,1/18/17 23:59,0.000215961,0.000205238,0.000215434,0.0002078,98052.29688,22396382.26
19,Dogecoin,DOGE,1/19/17 23:59,0.000212105,0.000205629,0.000205629,0.000210597,64430,22700762.57
20,Dogecoin,DOGE,1/20/17 23:59,0.000212365,0.000204546,0.000209027,0.000208534,72039.79688,22481310.09
21,Dogecoin,DOGE,1/21/17 23:59,0.000214291,0.000204361,0.000205659,0.000208298,131115,22458717.58
22,Dogecoin,DOGE,1/22/17 23:59,0.000210747,0.00020314,0.000208325,0.000207376,72922.60156,22362118.57
23,Dogecoin,DOGE,1/23/17 23:59,0.000208998,0.000202891,0.000204985,0.000208135,60872.60156,22446879.16
24,Dogecoin,DOGE,1/24/17 23:59,0.00020926,0.00019998,0.000207965,0.000202261,59544.69922,21816183.83
25,Dogecoin,DOGE,1/25/17 23:59,0.00020484,0.000199595,0.000202798,0.000203735,71636.10156,21977953.31
26,Dogecoin,DOGE,1/26/17 23:59,0.000209882,0.000201104,0.000203745,0.00020805,93096.20313,22446321.14
27,Dogecoin,DOGE,1/27/17 23:59,0.00021039,0.000204288,0.000208039,0.000204315,114996,22046163.93
28,Dogecoin,DOGE,1/28/17 23:59,0.0002101,0.000203447,0.000209021,0.000209004,54079.5,22555026.6
29,Dogecoin,DOGE,1/29/17 23:59,0.000210606,0.0002035,0.000209004,0.000204253,88538.20313,22045158.92
30,Dogecoin,DOGE,1/30/17 23:59,0.000209849,0.000203352,0.000203806,0.000207922,60615.89844,22444026.53
31,Dogecoin,DOGE,1/31/17 23:59,0.000215046,0.000203409,0.000208407,0.000205666,122078,22203337.52
32,Dogecoin,DOGE,2/01/17 23:59,0.000213521,0.000205599,0.000210775,0.000209392,83191.5,22608245.71
