SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Litecoin,LTC,1/01/17,4.521530151,4.328710079,4.329120159,4.511590004,11337500,221718274.9
2,Litecoin,LTC,1/02/17,4.737659931,4.484660149,4.520450115,4.648940086,14595300,228536447.6
3,Litecoin,LTC,1/03/17,4.731840134,4.564869881,4.655879974,4.626200199,10055700,227483920.9
4,Litecoin,LTC,1/04/17,4.837850094,4.633749962,4.633749962,4.837850094,13762400,237966484.3
5,Litecoin,LTC,1/05/17,4.945859909,4.22687006,4.91437006,4.292719841,19196000,211212252.1
6,Litecoin,LTC,1/06/17,4.351650238,3.841350079,4.302400112,3.861259937,11063700,190038394.9
7,Litecoin,LTC,1/07/17,3.955879927,3.613590002,3.863389969,3.955879927,14628400,194746308
8,Litecoin,LTC,1/08/17,4.015570164,3.897030115,3.959120035,3.99458003,11728600,196710013.3
9,Litecoin,LTC,1/09/17,4.359389782,3.929699898,3.996979952,4.301959991,11165200,211907899.8
10,Litecoin,LTC,1/10/17,4.682449818,4.291120052,4.30092001,4.591509819,15157900,226238984
11,Litecoin,LTC,1/11/17,4.636219978,3.796269894,4.597159863,3.846790075,21863300,189604833.3
12,Litecoin,LTC,1/12/17,4.021319866,3.780280113,3.836709976,3.962800026,13690900,195389833.6
13,Litecoin,LTC,1/13/17,3.960109949,3.801359892,3.948479891,3.890870094,7720620,191902491.2
14,Litecoin,LTC,1/14/17,3.946039915,3.871860027,3.892580032,3.9005301,3999180,192438807.5
15,Litecoin,LTC,1/15/17,3.951960087,3.876199961,3.888780117,3.925839901,9341360,193747581.6
16,Litecoin,LTC,1/16/17,3.957400084,3.873300076,3.922039986,3.902539968,8159260,192658074.6
17,Litecoin,LTC,1/17/17,3.945319891,3.851619959,3.905699968,3.939049959,4816480,194519765.6
18,Litecoin,LTC,1/18/17,3.951100111,3.783989906,3.942250013,3.838200092,4321020,189598850.2
19,Litecoin,LTC,1/19/17,3.928390026,3.810760021,3.84190011,3.860610008,4090650,190764054.8
20,Litecoin,LTC,1/20/17,3.909450054,3.843080044,3.859179974,3.890010118,3427180,192281660.9
21,Litecoin,LTC,1/21/17,3.91862011,3.890710115,3.892570019,3.904510021,2717700,193053346.2
22,Litecoin,LTC,1/22/17,3.917380095,3.824280024,3.902479887,3.842940092,2630830,190064917.4
23,Litecoin,LTC,1/23/17,3.8621099,3.821850061,3.856129885,3.835760117,2725110,189765617.8
24,Litecoin,LTC,1/24/17,3.841609955,3.784280062,3.835269928,3.786099911,2629220,187365781.6
25,Litecoin,LTC,1/25/17,3.802000046,3.68862009,3.791330099,3.714529991,6863540,183877335.7
26,Litecoin,LTC,1/26/17,3.841720104,3.70637989,3.714440107,3.834320068,5817220,189862991.3
27,Litecoin,LTC,1/27/17,3.86390996,3.805589914,3.84010005,3.855880022,5049680,190988506.6
28,Litecoin,LTC,1/28/17,3.867160082,3.83652997,3.85352993,3.852950096,3305270,190898186.8
29,Litecoin,LTC,1/29/17,3.859200001,3.838350058,3.852440119,3.852099895,2804420,190910291
30,Litecoin,LTC,1/30/17,4.021249771,3.855959892,3.856230021,4.021249771,10192700,199351481.5
31,Litecoin,LTC,1/31/17,4.100979805,4.016499996,4.016499996,4.078639984,15799800,202257334.1
32,Litecoin,LTC,2/01/17,4.131659985,4.030580044,4.076039791,4.075329781,7753930,202156360.8
33,Litecoin,LTC,2/02/17,4.090929985,4.016940117,4.075150013,4.085269928,5175450,202711223.3
34,Litecoin,LTC,2/03/17,4.107349873,4.04019022,4.08163023,4.082560062,8548470,202630540.7
35,Litecoin,LTC,2/04/17,4.096560001,4.015450001,4.08450985,4.058000088,6926300,201470796
36,Litecoin,LTC,2/05/17,4.07047987,4.018859863,4.065110207,4.042920113,4635400,200777191.8
37,Litecoin,LTC,2/06/17,4.079380035,4.040540218,4.057980061,4.044010162,4972300,200881367.4
38,Litecoin,LTC,2/07/17,4.078750134,4.039199829,4.053480148,4.040369987,6570650,200760049.2
39,Litecoin,LTC,2/08/17,4.080430031,3.970499992,4.049739838,4.023169994,7016980,199965754
40,Litecoin,LTC,2/09/17,4.083059788,3.713969946,4.029650211,3.798589945,21297300,188856895.2
41,Litecoin,LTC,2/10/17,3.810879946,3.698479891,3.801090002,3.777209997,7918280,187848135.2
42,Litecoin,LTC,2/11/17,3.804559946,3.766979933,3.777220011,3.793100119,3340840,188691479.8
43,Litecoin,LTC,2/12/17,3.795870066,3.745919943,3.795870066,3.764369965,2706320,187313755.5
44,Litecoin,LTC,2/13/17,3.76947999,3.703989983,3.768229961,3.717890024,4721650,185050281.7
45,Litecoin,LTC,2/14/17,3.773260117,3.707129955,3.71529007,3.770800114,3994400,187737972.7
46,Litecoin,LTC,2/15/17,3.816279888,3.755599976,3.769180059,3.809279919,2683590,189710832.2
47,Litecoin,LTC,2/16/17,3.819780111,3.779730082,3.796760082,3.786809921,3991580,188646305.1
48,Litecoin,LTC,2/17/17,3.83946991,3.774169922,3.778379917,3.830359936,4001350,190872606.6
49,Litecoin,LTC,2/18/17,3.828000069,3.778199911,3.828000069,3.79102993,3209270,188971684
50,Litecoin,LTC,2/19/17,3.793639898,3.744719982,3.792579889,3.76225996,2701490,187593271.5
51,Litecoin,LTC,2/20/17,3.784440041,3.749619961,3.768650055,3.767659903,3128060,187919323
52,Litecoin,LTC,2/21/17,3.797770023,3.757270098,3.7636199,3.783279896,4110740,188746826.7
53,Litecoin,LTC,2/22/17,3.841130018,3.781120062,3.787580013,3.805219889,4547610,189889067.8
54,Litecoin,LTC,2/23/17,3.847229958,3.796360016,3.800040007,3.842950106,4096480,191826642
55,Litecoin,LTC,2/24/17,3.880130053,3.816009998,3.830919981,3.84671998,6921090,192069643
56,Litecoin,LTC,2/25/17,3.859910011,3.814559937,3.852220058,3.826109886,3581200,191095953
57,Litecoin,LTC,2/26/17,3.847419977,3.797039986,3.81588006,3.826719999,2688250,191185638.1
58,Litecoin,LTC,2/27/17,3.829149961,3.796979904,3.813430071,3.802740097,3766590,190050515.7
59,Litecoin,LTC,2/28/17,3.816279888,3.764139891,3.803689957,3.770989895,4045440,188519642.7
60,Litecoin,LTC,3/01/17,3.814409971,3.761189938,3.773060083,3.798899889,4405000,189965827
61,Litecoin,LTC,3/02/17,4.111030102,3.777740002,3.795289993,3.924230099,9439480,196290700.3
62,Litecoin,LTC,3/03/17,3.996680021,3.898020029,3.921289921,3.920819998,7515680,196175905.1
63,Litecoin,LTC,3/04/17,3.922460079,3.859260082,3.911910057,3.884000063,3361400,194382285.3
64,Litecoin,LTC,3/05/17,3.901560068,3.836349964,3.863100052,3.901560068,2836910,195313683
65,Litecoin,LTC,3/06/17,3.926599979,3.862149954,3.872240067,3.92140007,4393810,196360996.8
66,Litecoin,LTC,3/07/17,3.909260035,3.801350117,3.894040108,3.821480036,5619560,191407738.9
67,Litecoin,LTC,3/08/17,3.817270041,3.746560097,3.807579994,3.776000023,4594400,189185840.6
68,Litecoin,LTC,3/09/17,3.844470024,3.762809992,3.766390085,3.838419914,3092100,192365805.2
69,Litecoin,LTC,3/10/17,3.879420042,3.729480028,3.828279972,3.752170086,7090150,188096028.3
70,Litecoin,LTC,3/11/17,3.836600065,3.750129938,3.75880003,3.798000097,3463740,190446085.4
71,Litecoin,LTC,3/12/17,3.861040115,3.784250021,3.786600113,3.842570066,3373750,192734981.9
72,Litecoin,LTC,3/13/17,4.245510101,3.832420111,3.847440004,4.170539856,22439100,209247491.5
73,Litecoin,LTC,3/14/17,4.173810005,4.005710125,4.173810005,4.055190086,7928910,203517140.8
74,Litecoin,LTC,3/15/17,4.180399895,4.00248003,4.046860218,4.160870075,6571900,208884338.5
75,Litecoin,LTC,3/16/17,4.383709908,4.100550175,4.14730978,4.237100124,12755200,212779672.4
76,Litecoin,LTC,3/17/17,4.233170033,4.036849976,4.233170033,4.055099964,11109600,203699158.6
77,Litecoin,LTC,3/18/17,4.157460213,3.86067009,4.040520191,3.967619896,12199700,199360039.5
78,Litecoin,LTC,3/19/17,4.0271101,3.899849892,3.956500053,3.956409931,6013050,198853053.3
79,Litecoin,LTC,3/20/17,4.04542017,3.889950037,3.950479984,4.033309937,4068240,202769043.3
80,Litecoin,LTC,3/21/17,4.041059971,3.981930017,4.036369801,4.009220123,4970080,201621297.8
81,Litecoin,LTC,3/22/17,4.007050037,3.893549919,3.987349987,3.936490059,5949960,198021517.2
82,Litecoin,LTC,3/23/17,4.002490044,3.922139883,3.931740046,3.98003006,3354160,200273944.9
83,Litecoin,LTC,3/24/17,4.130700111,3.938410044,3.973069906,4.083960056,12524300,205561868.5
84,Litecoin,LTC,3/25/17,4.118919849,3.96743989,4.073470116,4.07062006,7904680,204947911.1
85,Litecoin,LTC,3/26/17,4.098760128,4.027090073,4.066150188,4.060739994,3911060,204508540.6
86,Litecoin,LTC,3/27/17,4.14346981,4.043580055,4.066390038,4.07528019,5162690,205294093.9
87,Litecoin,LTC,3/28/17,4.177149773,4.060359955,4.069680214,4.15568018,4297870,209398408.4
88,Litecoin,LTC,3/29/17,4.202010155,4.093910217,4.142370224,4.185900211,8479960,210979437
89,Litecoin,LTC,3/30/17,7.044079781,4.145120144,4.178909779,6.980629921,191251008,351939332.9
90,Litecoin,LTC,3/31/17,7.074540138,5.854819775,7.018730164,6.667059898,98922600,336227385.4
91,Litecoin,LTC,4/01/17,6.984220028,6.311019897,6.653160095,6.883520126,57711700,347247821.5
92,Litecoin,LTC,4/02/17,7.944149971,6.648819923,6.862919807,7.74450016,88560400,390795465.2
93,Litecoin,LTC,4/03/17,8.635829926,7.242119789,7.744619846,8.070579529,114179000,407377515.6
94,Litecoin,LTC,4/04/17,8.962369919,7.52643013,8.118430138,8.289360046,129208000,418556787.9
95,Litecoin,LTC,4/05/17,11.42249966,7.961209774,8.247280121,11.09399986,217834000,560338329.9
96,Litecoin,LTC,4/06/17,11.4538002,9.664540291,11.12310028,10.2517004,194300000,517958247.8
97,Litecoin,LTC,4/07/17,10.56029987,9.190919876,10.22350025,9.371560097,94765600,473622779.8
98,Litecoin,LTC,4/08/17,10.3512001,9.331339836,9.336039543,9.916210175,58489100,501272917.4
99,Litecoin,LTC,4/09/17,10.01229954,8.427260399,9.888790131,8.709850311,90963296,440413411.7
100,Litecoin,LTC,4/10/17,9.201259613,8.185079575,8.720999718,8.917039871,74425696,451008790
101,Litecoin,LTC,4/11/17,9.275870323,8.663229942,8.91162014,8.853830338,50700000,447934139.4
102,Litecoin,LTC,4/12/17,11.06159973,8.831009865,8.831009865,10.78559971,159255008,545824242.3
103,Litecoin,LTC,4/13/17,10.77219963,9.931879997,10.76439953,10.14949989,64187400,513779944.2
104,Litecoin,LTC,4/14/17,10.50619984,9.68268013,10.13090038,10.39000034,61137000,526103441.1
105,Litecoin,LTC,4/15/17,11.00209999,10.19789982,10.34210014,10.79459953,47922000,546750077.8
106,Litecoin,LTC,4/16/17,10.90369987,10.6651001,10.74549961,10.71490002,24321400,542862719.2
107,Litecoin,LTC,4/17/17,11.17980003,10.38780022,10.59570026,10.42160034,104055000,528196466.4
108,Litecoin,LTC,4/18/17,10.94219971,9.971209526,10.41889954,10.32009983,83183296,523242304.2
109,Litecoin,LTC,4/19/17,10.34749985,9.589019775,10.31379986,9.658080101,55784900,489864408
110,Litecoin,LTC,4/20/17,10.66349983,9.58891964,9.634750366,10.3348999,55828300,524367323.3
111,Litecoin,LTC,4/21/17,11.53670025,10.1626997,10.29150009,11.22780037,99012200,569832265.6
112,Litecoin,LTC,4/22/17,13.06820011,11.10739994,11.17660046,13.06459999,158914000,663235620.2
113,Litecoin,LTC,4/23/17,14.40629959,12.9538002,13.06529999,13.93910027,198452000,707833524.9
114,Litecoin,LTC,4/24/17,14.96549988,13.33129978,13.96399975,14.96549988,60177200,760201117.3
115,Litecoin,LTC,4/25/17,15.43019962,14.24359989,14.97869968,15.21280003,56668300,773002033.4
116,Litecoin,LTC,4/26/17,15.78800011,14.55580044,15.20590019,14.84809971,71308800,754701192.3
117,Litecoin,LTC,4/27/17,15.00349998,13.4744997,14.84360027,14.62199974,76208000,743401961.9
118,Litecoin,LTC,4/28/17,14.78380013,14.05620003,14.59309959,14.34150028,41067800,729306971.1
119,Litecoin,LTC,4/29/17,15.76690006,14.36200047,14.39700031,15.74209976,45713600,800726755.2
120,Litecoin,LTC,4/30/17,16.0727005,15.46759987,15.7031002,15.70559978,43929100,799087301.4
121,Litecoin,LTC,5/01/17,16.36580086,14.8757,15.70810032,15.91769981,66989400,810118724.7
122,Litecoin,LTC,5/02/17,16.2310009,15.15439987,15.92269993,15.89500046,38692100,809254702.1
123,Litecoin,LTC,5/03/17,21.80179977,15.66740036,15.87520027,21.04260063,253440992,1071743437
124,Litecoin,LTC,5/04/17,25.68959999,20.85569954,21.04450035,23.39360046,242912000,1191860814
125,Litecoin,LTC,5/05/17,27.84659958,23.41629982,23.47120094,26.26689911,218948992,1338680275
126,Litecoin,LTC,5/06/17,28.58709908,25.48629951,26.46680069,28.15979958,108083000,1435575548
127,Litecoin,LTC,5/07/17,31.36860085,28.20149994,28.20149994,30.29109955,187718000,1544713042
128,Litecoin,LTC,5/08/17,30.73810005,27.32839966,30.37240028,28.95820045,132650000,1477190573
129,Litecoin,LTC,5/09/17,33.76060104,24.48920059,28.96439934,33.58300018,251516992,1713609764
130,Litecoin,LTC,5/10/17,37.32860184,31.21680069,33.29809952,31.96209908,410465984,1631357006
131,Litecoin,LTC,5/11/17,32.90589905,28.02879906,32.65710068,30.71769905,206136992,1568331565
132,Litecoin,LTC,5/12/17,31.67959976,27.36949921,30.93129921,27.45490074,110569000,1402203624
133,Litecoin,LTC,5/13/17,28.91200066,25.5230999,27.21890068,28.91200066,83564400,1477122967
134,Litecoin,LTC,5/14/17,30.45079994,27.78860092,29.09000015,28.89299965,67853200,1476620318
135,Litecoin,LTC,5/15/17,28.93280029,25.1868,28.89450073,25.36529922,97147904,1296726956
136,Litecoin,LTC,5/16/17,25.33760071,22.80999947,25.33760071,23.32769966,136875008,1192913432
137,Litecoin,LTC,5/17/17,25.94939995,20.79540062,23.24239922,25.40439987,141118000,1299438423
138,Litecoin,LTC,5/18/17,29.00530052,25.11529922,25.16539955,28.35759926,115830000,1450914686
139,Litecoin,LTC,5/19/17,28.41189957,26.78019905,28.28709984,27.69750023,96923800,1417518093
140,Litecoin,LTC,5/20/17,28.15690041,27.19510078,27.68129921,27.50600052,59065000,1408135490
141,Litecoin,LTC,5/21/17,28.73670006,25.7343998,27.4762001,26.29820061,104882000,1346703403
142,Litecoin,LTC,5/22/17,27.50489998,23.27099991,26.14150047,25.38100052,164828992,1300136201
143,Litecoin,LTC,5/23/17,32.11209869,24.93289948,25.30349922,32.11209869,216875008,1645417818
144,Litecoin,LTC,5/24/17,35.16450119,31.71170044,32.12170029,34.45339966,196292000,1765854146
145,Litecoin,LTC,5/25/17,36.21490097,28.87380028,34.46900177,29.90019989,687651008,1532898259
146,Litecoin,LTC,5/26/17,31.31579971,22.55610085,30.32509995,23.74830055,484254016,1217869995
147,Litecoin,LTC,5/27/17,25.43079948,20.09790039,23.40309906,23.73530006,505424000,1217527311
148,Litecoin,LTC,5/28/17,26.07279968,22.10849953,24.00740051,24.22060013,377039008,1242756137
149,Litecoin,LTC,5/29/17,25.68799973,23.28269958,24.32489967,25.21249962,219796000,1293996451
150,Litecoin,LTC,5/30/17,26.13459969,24.03079987,25.31889915,24.1420002,216944000,1239464943
151,Litecoin,LTC,5/31/17,25.5727005,23.18429947,24.2935009,25.29759979,298675008,1299159067
152,Litecoin,LTC,6/01/17,29.61989975,25.29820061,25.34390068,28.80340004,420472992,1479645992
